relative_hour,source_start_time_microseconds,source_end_time_microseconds,eligible_domain_count,complete_valid_domain_count,measured_power_util_unweighted_mean,measured_power_util_unweighted_median,peak_normalized_unweighted_mean
189,681000000000,684300000000,55,55,0.658340909091,0.686416666667,0.897628181689
190,684600000000,687900000000,55,55,0.654762121212,0.668,0.892748611223
191,688200000000,691500000000,55,55,0.656971212121,0.659583333333,0.895760640748
192,691800000000,695100000000,55,55,0.656533333333,0.66425,0.895163606089
193,695400000000,698700000000,55,55,0.659743939394,0.67075,0.899541171634
194,699000000000,702300000000,55,55,0.657984848485,0.6605,0.897142703679
195,702600000000,705900000000,55,55,0.662233333333,0.672583333333,0.902935385976
196,706200000000,709500000000,55,55,0.674663636364,0.6965,0.919883733181
197,709800000000,713100000000,55,55,0.683596969697,0.70725,0.93206406657
198,713400000000,716700000000,55,55,0.685242424242,0.700666666667,0.934307594735
199,717000000000,720300000000,55,55,0.689821212121,0.702666666667,0.940550635356
200,720600000000,723900000000,55,55,0.69621969697,0.7175,0.949274778488
201,724200000000,727500000000,55,55,0.710451515152,0.726166666667,0.968679437837
202,727800000000,731100000000,55,55,0.712163636364,0.723333333333,0.971013864012
203,731400000000,734700000000,55,55,0.709324242424,0.718833333333,0.967142435116
204,735000000000,738300000000,55,55,0.701734848485,0.691166666667,0.956794522982
205,738600000000,741900000000,55,55,0.707828787879,0.711833333333,0.965103427475
206,742200000000,745500000000,55,55,0.706696969697,0.709583333333,0.963560227162
207,745800000000,749100000000,55,55,0.701140909091,0.71975,0.955984704344
208,749400000000,752700000000,55,55,0.699096969697,0.712833333333,0.953197853981
209,753000000000,756300000000,55,55,0.690837878788,0.696166666667,0.941936830015
210,756600000000,759900000000,55,55,0.683072727273,0.699416666667,0.931349277671
211,760200000000,763500000000,55,55,0.674,0.700166666667,0.918978884805
212,763800000000,767100000000,55,55,0.667912121212,0.695083333333,0.910678243768
213,767400000000,770700000000,55,55,0.673922727273,0.695333333333,0.918873525748
214,771000000000,774300000000,55,54,0.670711419753,0.688,0.914495003785
215,774600000000,777900000000,55,55,0.673872727273,0.699083333333,0.91880535224
216,778200000000,781500000000,55,55,0.670477272727,0.6885,0.914175751303
217,781800000000,785100000000,55,55,0.675596969697,0.688666666667,0.921156305326
218,785400000000,788700000000,55,55,0.690890909091,0.704666666667,0.94200913525
219,789000000000,792300000000,55,55,0.700872727273,0.703583333333,0.955619046439
220,792600000000,795900000000,55,55,0.700784848485,0.7065,0.955499226334
221,796200000000,799500000000,55,55,0.709254545455,0.722833333333,0.967047405378
222,799800000000,803100000000,55,55,0.712939393939,0.719,0.972071586315
223,803400000000,806700000000,55,55,0.717840909091,0.726333333333,0.978754655941
224,807000000000,810300000000,55,54,0.71850308642,0.728083333333,0.979657514966
225,810600000000,813900000000,55,55,0.713046969697,0.721083333333,0.97221826265
226,814200000000,817500000000,55,55,0.716731818182,0.72375,0.977242443586
227,817800000000,821100000000,55,55,0.714990909091,0.720833333333,0.974868765998
228,821400000000,824700000000,55,55,0.710556060606,0.70875,0.968821982444
229,825000000000,828300000000,55,55,0.711383333333,0.714333333333,0.969949944118
230,828600000000,831900000000,55,55,0.7126,0.721166666667,0.971608832808
231,832200000000,835500000000,55,55,0.707157575758,0.720833333333,0.964188249779
232,835800000000,839100000000,55,55,0.702103030303,0.71675,0.957296527903
233,839400000000,842700000000,55,55,0.693813636364,0.70325,0.945994186659
234,843000000000,846300000000,55,55,0.688166666667,0.6995,0.938294712008
235,846600000000,849900000000,55,55,0.685063636364,0.70375,0.934063822798
236,850200000000,853500000000,55,55,0.686275757576,0.711916666667,0.935716513896
237,853800000000,857100000000,55,55,0.682625757576,0.69675,0.930739847828
238,857400000000,860700000000,55,55,0.681775757576,0.6985,0.929580898196
239,861000000000,864300000000,55,55,0.687545454545,0.692166666667,0.937447707821
240,864600000000,867900000000,55,55,0.67716969697,0.682666666667,0.923300672026
241,868200000000,871500000000,55,55,0.682784848485,0.68025,0.930956763535
242,871800000000,875100000000,55,54,0.683569444444,0.671125,0.93202653671
243,875400000000,878700000000,55,55,0.681895454545,0.668,0.929744101442
244,879000000000,882300000000,55,55,0.687704545455,0.671083333333,0.937664623527
245,882600000000,885900000000,55,55,0.688412121212,0.672166666667,0.938629381956
246,886200000000,889500000000,55,55,0.69048030303,0.691,0.941449286141
247,889800000000,893100000000,55,55,0.700151515152,0.701416666667,0.954635695235
248,893400000000,896700000000,55,55,0.710148484848,0.716083333333,0.968266265063
249,897000000000,900300000000,55,55,0.712,0.729666666667,0.970790750714
250,900600000000,903900000000,55,55,0.714201515152,0.731416666667,0.97379245092
251,904200000000,907500000000,55,55,0.716018181818,0.72875,0.976269421703
252,907800000000,911100000000,55,55,0.709340909091,0.717666666667,0.967165159619
253,911400000000,914700000000,55,55,0.702653030303,0.709083333333,0.958046436488
254,915000000000,918300000000,55,55,0.697004545455,0.699583333333,0.950344895973
255,918600000000,921900000000,55,55,0.690283333333,0.686416666667,0.941180723837
256,922200000000,925500000000,55,55,0.687906060606,0.686083333333,0.937939383422
257,925800000000,929100000000,55,55,0.679859090909,0.67225,0.926967580398
258,929400000000,932700000000,55,55,0.665336363636,0.653416666667,0.907166275185
259,933000000000,936300000000,55,55,0.658243939394,0.638916666667,0.897495966401
260,936600000000,939900000000,55,55,0.656137878788,0.64025,0.894624415619
261,940200000000,943500000000,55,55,0.655022727273,0.644666666667,0.893103939809
262,943800000000,947100000000,55,55,0.665413636364,0.6585,0.907271634243
263,947400000000,950700000000,55,55,0.661228787879,0.662,0.901565718229
264,951000000000,954300000000,55,55,0.656137878788,0.663333333333,0.894624415619
265,954600000000,957900000000,55,55,0.664821212121,0.666583333333,0.906463881469
266,958200000000,961500000000,55,55,0.678709090909,0.673416666667,0.925399589719
267,961800000000,965100000000,55,55,0.680648484848,0.674416666667,0.928043895476
268,965400000000,968700000000,55,55,0.685046969697,0.674333333333,0.934041098296
269,969000000000,972300000000,55,55,0.680939393939,0.677416666667,0.928440541339
270,972600000000,975900000000,55,55,0.684592424242,0.670166666667,0.933421339134
271,976200000000,979500000000,55,55,0.691903030303,0.693,0.943389132317
272,979800000000,983100000000,55,55,0.70415,0.704916666667,0.960087509994
273,983400000000,986700000000,55,55,0.711348484848,0.712083333333,0.969902429249
274,987000000000,990300000000,55,55,0.715095454545,0.71625,0.975011310605
275,990600000000,993900000000,55,55,0.717493939394,0.72225,0.978281573114
276,994200000000,997500000000,55,55,0.710833333333,0.71625,0.969200035533
277,997800000000,1001100000000,55,55,0.704153030303,0.70625,0.960091641721
278,1001400000000,1004700000000,55,54,0.698223765432,0.706833333333,0.952007266026
279,1005000000000,1008300000000,55,55,0.679236363636,0.66475,0.926118510347
280,1008600000000,1011900000000,55,55,0.668060606061,0.650083333333,0.910880698427
281,1012200000000,1015500000000,55,54,0.656305555556,0.651708333333,0.894853037887
282,1015800000000,1019100000000,55,55,0.655172727273,0.678833333333,0.893308460332
283,1019400000000,1022700000000,55,55,0.667268181818,0.6835,0.909800251622
284,1023000000000,1026300000000,55,55,0.662201515152,0.66675,0.902892002834
285,1026600000000,1029900000000,55,55,0.657148484848,0.642583333333,0.896002346821
286,1030200000000,1033500000000,55,55,0.657731818182,0.651666666667,0.896797704412
287,1033800000000,1037100000000,55,55,0.660574242424,0.6655,0.900673265036
288,1037400000000,1040700000000,55,55,0.668322727273,0.676916666667,0.911238092877
289,1041000000000,1044300000000,55,55,0.66441969697,0.6645,0.905916427543
290,1044600000000,1047900000000,55,55,0.671018181818,0.682083333333,0.914913264705
291,1048200000000,1051500000000,55,55,0.669075757576,0.6665,0.912264827221
292,1051800000000,1055100000000,55,55,0.686209090909,0.694,0.935625615886
293,1055400000000,1058700000000,55,55,0.696363636364,0.69825,0.949471035556
294,1059000000000,1062300000000,55,55,0.698148484848,0.698166666667,0.951904623197
295,1062600000000,1065900000000,55,55,0.708634848485,0.716416666667,0.966202467055
296,1066200000000,1069500000000,55,55,0.710274242424,0.71525,0.968437731764
297,1069800000000,1073100000000,55,55,0.716325757576,0.727083333333,0.976688792069
298,1073400000000,1076700000000,55,55,0.716257575758,0.730666666667,0.976595828194
299,1077000000000,1080300000000,55,55,0.712268181818,0.720333333333,0.97115640862
300,1080600000000,1083900000000,55,55,0.710301515152,0.72075,0.968474917314
301,1084200000000,1087500000000,55,55,0.709154545455,0.719083333333,0.966911058363
302,1087800000000,1091100000000,55,55,0.705134848485,0.715166666667,0.96143032151
303,1091400000000,1094700000000,55,55,0.699996969697,0.70775,0.954424977121
304,1095000000000,1098300000000,55,55,0.694412121212,0.700166666667,0.946810202888
305,1098600000000,1101900000000,55,54,0.68999845679,0.7045,0.940792303173
306,1102200000000,1105500000000,55,55,0.687983333333,0.709916666667,0.93804474248
307,1105800000000,1109100000000,55,55,0.681766666667,0.703166666667,0.929568503013
308,1109400000000,1112700000000,55,55,0.687153030303,0.701333333333,0.936912649078
309,1113000000000,1116300000000,55,55,0.687665151515,0.688166666667,0.937610911067
310,1116600000000,1119900000000,55,55,0.668128787879,0.66225,0.910973662301
311,1120200000000,1123500000000,55,55,0.665398484848,0.64575,0.907250975604
312,1123800000000,1127100000000,55,55,0.672293939394,0.651666666667,0.916652722086
313,1127400000000,1130700000000,55,55,0.667356060606,0.656,0.909920071727
314,1131000000000,1134300000000,55,55,0.668793939394,0.667333333333,0.911880576541
315,1134600000000,1137900000000,55,55,0.676766666667,0.683333333333,0.922751152236
316,1138200000000,1141500000000,55,55,0.681301515152,0.682916666667,0.928934282804
317,1141800000000,1145100000000,55,55,0.692825757576,0.694666666667,0.944647243415
318,1145400000000,1148700000000,55,55,0.701151515152,0.714416666667,0.955999165391
319,1149000000000,1152300000000,55,55,0.698604545455,0.712166666667,0.952526448222
320,1152600000000,1155900000000,55,55,0.707375757576,0.71675,0.964485734177
321,1156200000000,1159500000000,55,55,0.714039393939,0.722333333333,0.973571403486
322,1159800000000,1163100000000,55,55,0.715801515152,0.72375,0.975974003169
323,1163400000000,1166700000000,55,55,0.719345454545,0.721333333333,0.980806058766
324,1167000000000,1170300000000,55,55,0.720551515152,0.716833333333,0.982450486408
325,1170600000000,1173900000000,55,55,0.715510606061,0.718666666667,0.975577357306
326,1174200000000,1177500000000,55,55,0.719931818182,0.72875,0.981605548084
327,1177800000000,1181100000000,55,55,0.713793939394,0.724833333333,0.973236733539
328,1181400000000,1184700000000,55,55,0.711904545455,0.719083333333,0.97066060129
329,1185000000000,1188300000000,55,55,0.709781818182,0.71225,0.967766326006
330,1188600000000,1191900000000,55,55,0.695171212121,0.695083333333,0.947845200688
331,1192200000000,1195500000000,55,55,0.685425757576,0.689166666667,0.934557564264
332,1195800000000,1199100000000,55,55,0.678051515152,0.68075,0.924503004799
333,1199400000000,1202700000000,55,55,0.673551515152,0.679666666667,0.918367389099
334,1203000000000,1206300000000,55,55,0.668690909091,0.67275,0.911740097798
335,1206600000000,1209900000000,55,55,0.669357575758,0.675,0.912649077902
336,1210200000000,1213500000000,55,55,0.66761969697,0.679916666667,0.910279532041
337,1213800000000,1217100000000,55,55,0.667362121212,0.670833333333,0.909928335182
338,1217400000000,1220700000000,55,55,0.670763636364,0.671583333333,0.914566199575
339,1221000000000,1224300000000,55,55,0.677536363636,0.688166666667,0.923800611083
340,1224600000000,1227900000000,55,55,0.673707575758,0.683416666667,0.918580173078
341,1228200000000,1231500000000,55,54,0.691141975309,0.71125,0.942351456545
342,1231800000000,1235100000000,55,55,0.691931818182,0.698916666667,0.94342838373
343,1235400000000,1238700000000,55,55,0.697945454545,0.693083333333,0.951627797438
344,1239000000000,1242300000000,55,55,0.704631818182,0.71,0.960744454705
345,1242600000000,1245900000000,55,55,0.714427272727,0.71175,0.974100264637
346,1246200000000,1249500000000,55,55,0.714765151515,0.711583333333,0.974560952281
347,1249800000000,1253100000000,55,55,0.714433333333,0.70975,0.974108528093
348,1253400000000,1256700000000,55,55,0.719715151515,0.71625,0.98131012955
349,1257000000000,1260300000000,55,55,0.720362121212,0.716583333333,0.982192253424
350,1260600000000,1263900000000,55,55,0.719077272727,0.719916666667,0.98044040086
351,1264200000000,1267500000000,55,55,0.714678787879,0.7195,0.97444319804
352,1267800000000,1271100000000,55,55,0.711486363636,0.710666666667,0.970090422862
353,1271400000000,1274700000000,55,54,0.709114197531,0.714583333333,0.966856045173
354,1275000000000,1278300000000,55,55,0.699271212121,0.695083333333,0.953435428326
355,1278600000000,1281900000000,55,55,0.692071212121,0.691083333333,0.943618443206
356,1282200000000,1285500000000,55,55,0.690939393939,0.70475,0.942075242894
357,1285800000000,1289100000000,55,55,0.684398484848,0.700166666667,0.933156908559
358,1289400000000,1292700000000,55,55,0.680853030303,0.68375,0.928322787098
359,1293000000000,1296300000000,55,55,0.673571212121,0.6605,0.91839424533
360,1296600000000,1299900000000,55,55,0.672198484848,0.668083333333,0.916522572662
361,1300200000000,1303500000000,55,55,0.672203030303,0.671833333333,0.916528770253
362,1303800000000,1307100000000,55,55,0.668116666667,0.668916666667,0.910957135391
363,1307400000000,1310700000000,55,55,0.668948484848,0.673833333333,0.912091294656
364,1311000000000,1314300000000,55,55,0.677362121212,0.68075,0.923563036737
365,1314600000000,1317900000000,55,55,0.695634848485,0.71025,0.948477355033
366,1318200000000,1321500000000,55,55,0.703096969697,0.70875,0.958651734603
367,1321800000000,1325100000000,55,55,0.709607575758,0.711833333333,0.96752875166
368,1325400000000,1328700000000,55,55,0.716287878788,0.715083333333,0.976637145472
369,1329000000000,1332300000000,55,55,0.721815151515,0.7205,0.984173416877
370,1332600000000,1335900000000,55,54,0.726149691358,0.733583333333,0.99008343259
