candidate_group_id,candidate_key_json,candidate_group_size,source_obs_ids,postal_code,start_timestamp_local,restoration_timestamp_local,cause_category,normalized_cause_category_detail,cause_detail_complete,nerc_regions,multi_nerc,reported_duration_min,reported_duration_min_min,reported_duration_min_max,timestamp_duration_min,timestamp_duration_min_min,timestamp_duration_min_max,duration_delta_min,duration_delta_min_min,duration_delta_min_max,complete_temporal,timestamp_duration_nonnegative,reported_duration_positive,reported_duration_nonnegative,demand_loss_known,demand_loss_positive,demand_loss_zero,demand_loss_known_count,demand_loss_max_mw,demand_loss_min_mw,customers_known_count,customers_max,customers_min
a8b160914630533886edd29d9bcc7742602ceb1eb4d59764fa6390b8bad40d49,"[""AZ"",""2000-06-14T00:00:00"",""15:54:00"",""2000-06-14T00:00:00"",""17:00:00"",""severe weather"",""wildfire""]",1,505,AZ,2000-06-14T15:54:00,2000-06-14T17:00:00,severe weather,wildfire,true,WECC,false,66,66,66,66,66,66,0,0,0,true,true,true,true,true,true,false,1,138,138,1,40911,40911
2ade0b446fa79c3878ee743b641ab4e1715c131dceb1b07477f6ad87f558527a,"[""AZ"",""2002-04-08T00:00:00"",""15:00:00"",""__MISSING__"",""__MISSING__"",""intentional attack"",""vandalism""]",1,506,AZ,2002-04-08T15:00:00,__MISSING__,intentional attack,vandalism,true,WECC,false,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,false,false,false,false,true,false,true,1,0,0,1,0,0
468082b27fa012a08b72836896391a444d538af47d5614a687f2a9bbde84cc94,"[""AZ"",""2003-07-01T00:00:00"",""15:15:00"",""2003-07-01T00:00:00"",""15:50:00"",""equipment failure"",""breaker trip""]",1,497,AZ,2003-07-01T15:15:00,2003-07-01T15:50:00,equipment failure,breaker trip,true,WECC,false,35,35,35,35,35,35,0,0,0,true,true,true,true,true,true,false,1,1000,1000,1,47000,47000
6b7ddba1ba005345e4cc90374b1775b999e7b0e859ead0d51394e428a8b7d31a,"[""AZ"",""2003-07-28T00:00:00"",""18:55:00"",""2003-07-28T00:00:00"",""20:35:00"",""equipment failure"",""breaker trip""]",1,519,AZ,2003-07-28T18:55:00,2003-07-28T20:35:00,equipment failure,breaker trip,true,WECC,false,100,100,100,100,100,100,0,0,0,true,true,true,true,true,true,false,1,440,440,1,90000,90000
c484e5e1df4bbe2dd44e0e0dc5912d25295183d25bfe4f648482f8fedbcb42af,"[""AZ"",""2004-06-14T00:00:00"",""07:41:00"",""2004-06-14T00:00:00"",""14:39:00"",""equipment failure"",""line fault""]",1,518,AZ,2004-06-14T07:41:00,2004-06-14T14:39:00,equipment failure,line fault,true,WECC,false,418,418,418,418,418,418,0,0,0,true,true,true,true,true,true,false,1,200,200,1,30000,30000
78cd0756bb2e3125418d33fd7f703be157e70cafa18064eb60c7508a7ea8d0a3,"[""AZ"",""2004-07-06T00:00:00"",""06:00:00"",""2004-08-09T00:00:00"",""12:00:00"",""severe weather"",""wildfire""]",2,500;514,AZ,2004-07-06T06:00:00,2004-08-09T12:00:00,severe weather,wildfire,true,WECC,false,49320,49320,49320,49320,49320,49320,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
0b308ce6a7deb53cfcaa784fc31510cb4db064b2adde0397cfa5756741542189,"[""AZ"",""2009-12-08T00:00:00"",""01:00:00"",""2009-12-10T00:00:00"",""23:00:00"",""severe weather"",""__MISSING__""]",1,501,AZ,2009-12-08T01:00:00,2009-12-10T23:00:00,severe weather,__MISSING__,false,WECC,false,4200,4200,4200,4200,4200,4200,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,1,140000,140000
6a43e47355ff207e7ca04f4f4b02fba6d576683bfc72e7fbbdbb07b8325463da,"[""AZ"",""2011-02-02T00:00:00"",""06:22:00"",""2011-02-02T00:00:00"",""09:57:00"",""system operability disruption"",""__MISSING__""]",1,516,AZ,2011-02-02T06:22:00,2011-02-02T09:57:00,system operability disruption,__MISSING__,false,WECC,false,215,215,215,215,215,215,0,0,0,true,true,true,true,true,true,false,1,3963,3963,1,69000,69000
9c0af66bedf98017bc60c30dfd179827cd1e3d2c9f0c4609e4ae091836f9c4a6,"[""AZ"",""2011-04-28T00:00:00"",""16:09:00"",""2011-04-28T00:00:00"",""16:10:00"",""equipment failure"",""__MISSING__""]",1,511,AZ,2011-04-28T16:09:00,2011-04-28T16:10:00,equipment failure,__MISSING__,false,WECC,false,1,1,1,1,1,1,0,0,0,true,true,true,true,true,true,false,1,960,960,0,__MISSING__,__MISSING__
bad0d060089ddedc8e7d23595e0af506d67189ff4056d80606733cc84f5badaf,"[""AZ"",""2011-06-30T00:00:00"",""14:11:00"",""2011-06-30T00:00:00"",""23:25:00"",""system operability disruption"",""majorsystem interruption""]",1,492,AZ,2011-06-30T14:11:00,2011-06-30T23:25:00,system operability disruption,majorsystem interruption,true,WECC,false,554,554,554,554,554,554,0,0,0,true,true,true,true,true,true,false,1,5299,5299,1,160000,160000
