candidate_group_id,candidate_group_size,source_obs_ids,cause_category,normalized_cause_category_detail,nerc_regions,multi_nerc,complete_temporal,timestamp_duration_nonnegative,reported_duration_positive,reported_duration_nonnegative,demand_loss_known,demand_loss_positive,cause_detail_complete,primary_duration_member,known_loss_sensitivity_member,positive_loss_sensitivity_member,zero_duration_sensitivity_member,detail_complete_sensitivity_member,single_nerc_sensitivity_member,source_rows_primary_duration,source_rows_known_loss_sensitivity,source_rows_positive_loss_sensitivity,source_rows_zero_duration_sensitivity
98cd03f3c6e7aa60b4934feab96cc74e8de2ea01763e4a9b61ba66976999fd58,1,1206,severe weather,winter storm,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
b061af7433ff57acc097cf0744359429b1adabfcee7f3f5ae7ae76bc13b42390,1,1210,equipment failure,generator trip,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
efb3e745668fd63ff12bf9fd302cd68229f0bdcc70c88ea002325b47f3d50258,1,1182,severe weather,wildfire,WECC,false,true,true,true,true,false,false,true,true,false,false,true,true,true,1,0,0,1
f91efe60a598c2dbbc3792ad5cb4bec6df18cffb93e4de708bb5891e4fd03ee2,1,1283,equipment failure,cables,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
327ea8abccd746410883945a2ce73025955ecd8f51a523147e40493dbd0f701f,1,1165,severe weather,earthquake,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
fbc86d41ec845f24e33215aaa4af9e002a4c3e83c94a2abbb82566defbf8b716,1,1180,severe weather,winter storm,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
591a58ea5e85c72f4f11b6f99243a90b5229e2a4ad858bb0d9a6b2a954646b77,1,1248,severe weather,winter storm,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
ccb018e2cf35cca2d33c38f9e66d80128d86a20495a12ddbf15a23d8203f67a8,1,1255,severe weather,thunderstorm,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
dd83cfd498f542ea9279be92e0c5bebd045b64a1be7617f20a6b3443a223e766,1,1150,severe weather,winter storm,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
2b69eff1e1939184e6c49a026cd1d98a212df9567f6d47e514817baef077f029,1,1109,system operability disruption,__MISSING__,WECC,false,true,true,true,true,true,true,false,true,true,true,true,false,true,1,1,1,1
17041d1df96c16aaf0a8b9a1caece55890786a79cda3dd301d8aea54a961fb73,1,1238,severe weather,heatwave,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
940263ee2eb92504770bd04f602fd7bc2c635465ef3482196901f86851fbb894,1,1278,severe weather,wildfire,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
2423430be8c20b164036eb0391b193410d7bd8cb3d5ffec100556c6ff534e40a,1,1188,equipment failure,substation,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
633b2fb8bad287462e9d1f757e29bb7b2aa83b850e0ce89315dfbb96f9bb8571,1,1114,severe weather,heavy wind,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
dbfc1bf74db4ce5396346440985655f24312cd7c2eff4dd40d0eeec52fa257e2,1,1174,system operability disruption,transmission interruption,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
65a9ee3736dac2e619117501d569fc1df0d563d225cb1848648523e1b2b61bf1,1,1175,severe weather,__MISSING__,WECC,false,true,true,true,true,true,true,false,true,true,true,true,false,true,1,1,1,1
2323180f4e015e9e9fdc33269977945efa1e2f066d1328aae807516767ba86c6,1,1131,severe weather,winter storm,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
8654a93139a78c68df390563f27eb64d08928c2d7c14a181f9dfaf18c5199e39,1,1275,severe weather,thunderstorm,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
8f19df9741c38d1cd57e417c9f5420b29f5a9e2300975158524ad2e2d45b139e,1,1084,system operability disruption,__MISSING__,WECC,false,true,true,true,true,true,true,false,true,true,true,true,false,true,1,1,1,1
255bd8e6042bb44fc15454c63c7b84ab18452dfbee909b674fe164c8511f9fef,1,1213,system operability disruption,__MISSING__,WECC,false,true,true,true,true,true,true,false,true,true,true,true,false,true,1,1,1,1
215e2b3e042ee2dadb79c3622daf23dd0903f17cf1fcde27456271669995c223,1,1087,equipment failure,plant trip,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
fa837ddc054f23336119352735e6cd15c9ce6682b669b6b601871df569937ef0,1,1151,system operability disruption,__MISSING__,WECC,false,true,true,true,true,false,false,false,true,false,false,true,false,true,1,0,0,1
ea3ae3d5e36c3ccd4f5ac86a4698ee75f73b531ac1f02f96ed2e51afcc7a6db9,1,1153,system operability disruption,transmission interruption,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
03c5f0b0c9e2bf4825970869e55613458dfba54dbf90b06782860210e765bf5e,1,1086,equipment failure,__MISSING__,WECC,false,true,true,true,true,true,true,false,true,true,true,true,false,true,1,1,1,1
e629c25feae0275411cd40cc93efe81e97ee162d179b5057fcf2167308f55d27,1,1189,severe weather,wildfire,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
5b849b12afeef884dbb28f29fcc7792ebcc47fb93ad8ddbf8b3f11d6078f8454,1,1202,severe weather,storm,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
71cdad09604b8574287882ad6fa7e19a8ccd1a45827f1d200c8b8c5f83404c0b,1,1141,severe weather,winter storm,WECC,false,true,true,true,true,false,false,true,true,false,false,true,true,true,1,0,0,1
11e7fa8f9e766a606bf5b38585c38a0df0ce6eb6389af0f699a8310c20ddda6e,1,1129,severe weather,wildfire,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
5720dc9ec35339098f85eff8c801d5d265de7e90e96d26111a4e4baec7d833ea,1,1078,severe weather,thunderstorm,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
78094f4c8d21eac023ab6d3454d8c780d969e2ccffee6a50f5b8d2b6ca4bb6bf,1,1143,severe weather,heatwave,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
7506493fdef292987a9ddb1b90d5b84e1aeaf468ed83923537a23f9d1c1b6a59,2,1083;1203,severe weather,heatwave,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,2,2,2,2
22af1f40a06b06008759405b1ba961da803f44ddb9f82aa8cb9c13a215419a28,1,1117,system operability disruption,__MISSING__,WECC,false,true,true,true,true,true,true,false,true,true,true,true,false,true,1,1,1,1
a493b0053416c42b5d8cb5e25f0e4dcbc9ed498918867b32ff3dd5227ff5ae67,1,1111,equipment failure,generator trip,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
c315af09214fffb47d0fa7fb74d6bfbd57489793f330a238e22f38e377b18221,1,1107,severe weather,__MISSING__,WECC,false,true,true,true,true,true,true,false,true,true,true,true,false,true,1,1,1,1
8699bceca2ffd5e32adc30cb5430a3d8137248a36a6757e1952919a7d89c1e2a,1,1281,severe weather,winter storm,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
10406bd202cb064ff09b5ee38ef931de5580fd0c6e7419d582587de450982b26,1,1254,severe weather,heavy wind,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
e646c345ab110fc13065c30de03bb2645a400e2525cf655fc51f7c4ed5a62603,1,1157,equipment failure,generator trip,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
b71430d3417862fac73bd08ad5e1cc7e1675aee2f7dddb5a4c9287050bcdba3a,1,1229,equipment failure,generator trip,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
bfaa4b0fa7663972ed79dd44729383b3c4590aa52078ac9647dfc7a584e9d640,1,1108,equipment failure,generator trip,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
33be5c6042ee5e31de8f7c4eb5da29ae95c496ebb1b7d6c9f67a3e4d0960c46b,1,1185,equipment failure,generator trip,WECC,false,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1
ca067a2fbf3fc8bf2552ba1700bc82d0e3c46293d093881ede92cd9cebbbe549,1,1282,fuel supply emergency,__MISSING__,WECC,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0,0
2a8a184d7b6aa7e866bf4923ee1101b0146a9f12efc519e394f299855fea0f3e,1,1152,public appeal,__MISSING__,WECC,false,true,true,true,true,false,false,false,true,false,false,true,false,true,1,0,0,1
4742ee721f6d08f869f7a47c4b616f84d6be61fb4268582639de50721e71a394,1,1100,system operability disruption,__MISSING__,WECC,false,true,true,true,true,true,true,false,true,true,true,true,false,true,1,1,1,1
6b397621e9d2500053bd6f8cc209e05011f3387964463c726a561c9f00526979,1,1130,public appeal,__MISSING__,WECC,false,true,true,true,true,false,false,false,true,false,false,true,false,true,1,0,0,1
5ff19e61e5f236fb12f5903e796071453799af18cf7ec5fd517d27fc8053003d,1,1155,severe weather,heatwave,WECC,false,true,true,true,true,false,false,true,true,false,false,true,true,true,1,0,0,1
