cell_id,families,poi_bus,network_method,hourly_cfe_target,threshold_label,network_activation_threshold,business_recovery_headroom_mw,max_flexibility_budget_mw,seed,training_network_activation_rate,training_green_call_rate,training_joint_overlap_rate,holdout_network_activation_rate,holdout_green_call_rate,holdout_joint_overlap_rate,mean_effective_recovery_headroom_mw,grid_need_mw,correct_training_feasible,b6_training_feasible,correct_training_termination_condition,b6_training_termination_condition,correct_training_proven_infeasible,b6_training_proven_infeasible,correct_committed_flexibility_mw,b6_committed_flexibility_mw,correct_failure_probability,b6_failure_probability,correct_expected_shortfall_mwh,b6_expected_shortfall_mwh,delta_failure_probability,delta_expected_shortfall_mwh,flexibility_underprovisioning_mw,region,region_reason,scientific_region,gate_passed,security_certified
poi8_minimum_curtailment_a0.70_q90_h40_b80_s20260822,budget_sensitivity,8,minimum_curtailment,0.7,q90,0.9805009394329972,40.0,80.0,20260822,0.010416666666666666,0.8229166666666666,0.010416666666666666,0.375,0.9375,0.3125,2.4858813903688364,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.70_q90_h40_b150_s20260822,budget_sensitivity|multi_poi_network_definition|primary_phase_surface|seed_robustness,8,minimum_curtailment,0.7,q90,0.9805009394329972,40.0,150.0,20260822,0.010416666666666666,0.8229166666666666,0.010416666666666666,0.375,0.9375,0.3125,2.4858813903688364,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.70_q90_h40_b150_s20260823,seed_robustness,8,minimum_curtailment,0.7,q90,0.9805009394329972,40.0,150.0,20260823,0.07291666666666667,0.8645833333333334,0.07291666666666667,0.4166666666666667,0.875,0.4166666666666667,4.734254145236436,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.70_q90_h40_b150_s20260824,seed_robustness,8,minimum_curtailment,0.7,q90,0.9805009394329972,40.0,150.0,20260824,0.2916666666666667,0.65625,0.23958333333333334,0.20833333333333334,0.7708333333333334,0.16666666666666666,8.027800082099837,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.70_q90_h40_b250_s20260822,budget_sensitivity,8,minimum_curtailment,0.7,q90,0.9805009394329972,40.0,250.0,20260822,0.010416666666666666,0.8229166666666666,0.010416666666666666,0.375,0.9375,0.3125,2.4858813903688364,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.70_q90_h80_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.7,q90,0.9805009394329972,80.0,150.0,20260822,0.010416666666666666,0.8229166666666666,0.010416666666666666,0.375,0.9375,0.3125,2.4858813903688364,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.70_q95_h20_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.7,q95,0.9855289118330433,20.0,150.0,20260822,0.010416666666666666,0.8229166666666666,0.010416666666666666,0.3333333333333333,0.9375,0.2708333333333333,1.9508766982171524,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.70_q95_h40_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.7,q95,0.9855289118330433,40.0,150.0,20260822,0.010416666666666666,0.8229166666666666,0.010416666666666666,0.3333333333333333,0.9375,0.2708333333333333,2.4858813903688364,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.70_q95_h80_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.7,q95,0.9855289118330433,80.0,150.0,20260822,0.010416666666666666,0.8229166666666666,0.010416666666666666,0.3333333333333333,0.9375,0.2708333333333333,2.4858813903688364,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.70_q99_h20_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.7,q99,0.9921054212765977,20.0,150.0,20260822,0.0,0.8229166666666666,0.0,0.22916666666666666,0.9375,0.20833333333333334,1.9508766982171524,36.80000000000001,True,True,optimal,optimal,False,False,1.2113045583293456,1.2113045583293454,0.9999999999999999,0.9999999999999999,1171.8635403577905,1171.8635403577905,0.0,0.0,2.220446049250313e-16,R3_common_insufficiency,both_policies_fail_equivalently_under_shared_execution,True,True,False
poi8_minimum_curtailment_a0.70_q99_h40_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.7,q99,0.9921054212765977,40.0,150.0,20260822,0.0,0.8229166666666666,0.0,0.22916666666666666,0.9375,0.20833333333333334,2.4858813903688364,36.80000000000001,True,True,optimal,optimal,False,False,1.211304558329348,1.211304558329345,0.9999999999999999,0.9999999999999999,1171.8635403577905,1171.8635403577905,0.0,0.0,3.1086244689504383e-15,R3_common_insufficiency,both_policies_fail_equivalently_under_shared_execution,True,True,False
poi8_minimum_curtailment_a0.70_q99_h80_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.7,q99,0.9921054212765977,80.0,150.0,20260822,0.0,0.8229166666666666,0.0,0.22916666666666666,0.9375,0.20833333333333334,2.4858813903688364,36.80000000000001,True,True,optimal,optimal,False,False,1.2113045583293465,1.2113045583293454,0.9999999999999999,0.9999999999999999,1171.8635403577905,1171.8635403577905,0.0,0.0,1.1102230246251565e-15,R3_common_insufficiency,both_policies_fail_equivalently_under_shared_execution,True,True,False
poi8_minimum_curtailment_a0.85_q80_h20_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.85,q80,0.9708612624236891,20.0,150.0,20260822,0.052083333333333336,0.9166666666666666,0.052083333333333336,0.4166666666666667,1.0,0.4166666666666667,0.0,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.85_q80_h40_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.85,q80,0.9708612624236891,40.0,150.0,20260822,0.052083333333333336,0.9166666666666666,0.052083333333333336,0.4166666666666667,1.0,0.4166666666666667,0.0,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.85_q80_h80_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.85,q80,0.9708612624236891,80.0,150.0,20260822,0.052083333333333336,0.9166666666666666,0.052083333333333336,0.4166666666666667,1.0,0.4166666666666667,0.0,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.85_q90_h20_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.85,q90,0.9805009394329972,20.0,150.0,20260822,0.010416666666666666,0.9166666666666666,0.010416666666666666,0.375,1.0,0.375,0.0,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
